record	parent_name	parent_version	parent_source	name	version	source	normal_context	build_context	is_root
edge	hyper-util	0.1.20	registry	libc	0.2.186	registry	false	false	false
edge	hyper-util	0.1.20	registry	percent-encoding	2.3.2	registry	false	false	false
edge	hyper-util	0.1.20	registry	pin-project-lite	0.2.16	registry	false	false	false
edge	hyper-util	0.1.20	registry	socket2	0.6.4	registry	false	false	false
edge	hyper-util	0.1.20	registry	tokio	1.52.3	registry	false	false	false
edge	hyper-util	0.1.20	registry	tower-service	0.3.3	registry	false	false	false
edge	hyper-util	0.1.20	registry	tracing	0.1.44	registry	false	false	false
edge	icu_collections	2.1.1	registry	displaydoc	0.2.5	registry	false	false	false
edge	icu_collections	2.1.1	registry	potential_utf	0.1.4	registry	false	false	false
edge	icu_collections	2.1.1	registry	yoke	0.8.1	registry	false	false	false
edge	icu_collections	2.1.1	registry	zerofrom	0.1.6	registry	false	false	false
edge	icu_collections	2.1.1	registry	zerovec	0.11.5	registry	false	false	false
edge	icu_locale_core	2.1.1	registry	displaydoc	0.2.5	registry	false	false	false
edge	icu_locale_core	2.1.1	registry	litemap	0.8.1	registry	false	false	false
edge	icu_locale_core	2.1.1	registry	tinystr	0.8.2	registry	false	false	false
edge	icu_locale_core	2.1.1	registry	writeable	0.6.2	registry	false	false	false
edge	icu_locale_core	2.1.1	registry	zerovec	0.11.5	registry	false	false	false
edge	icu_normalizer	2.1.1	registry	icu_collections	2.1.1	registry	false	false	false
edge	icu_normalizer	2.1.1	registry	icu_normalizer_data	2.1.1	registry	false	false	false
edge	icu_normalizer	2.1.1	registry	icu_provider	2.1.1	registry	false	false	false
edge	icu_normalizer	2.1.1	registry	smallvec	1.15.1	registry	false	false	false
edge	icu_normalizer	2.1.1	registry	zerovec	0.11.5	registry	false	false	false
edge	icu_properties	2.1.2	registry	icu_collections	2.1.1	registry	false	false	false
edge	icu_properties	2.1.2	registry	icu_locale_core	2.1.1	registry	false	false	false
edge	icu_properties	2.1.2	registry	icu_properties_data	2.1.2	registry	false	false	false
edge	icu_properties	2.1.2	registry	icu_provider	2.1.1	registry	false	false	false
