record	parent_name	parent_version	parent_source	name	version	source	normal_context	build_context	is_root
edge	axum	0.8.9	registry	hyper-util	0.1.20	registry	false	false	false
edge	axum	0.8.9	registry	itoa	1.0.17	registry	false	false	false
edge	axum	0.8.9	registry	matchit	0.8.4	registry	false	false	false
edge	axum	0.8.9	registry	memchr	2.8.0	registry	false	false	false
edge	axum	0.8.9	registry	mime	0.3.17	registry	false	false	false
edge	axum	0.8.9	registry	percent-encoding	2.3.2	registry	false	false	false
edge	axum	0.8.9	registry	pin-project-lite	0.2.16	registry	false	false	false
edge	axum	0.8.9	registry	serde_core	1.0.228	registry	false	false	false
edge	axum	0.8.9	registry	serde_json	1.0.149	registry	false	false	false
edge	axum	0.8.9	registry	serde_path_to_error	0.1.20	registry	false	false	false
edge	axum	0.8.9	registry	serde_urlencoded	0.7.1	registry	false	false	false
edge	axum	0.8.9	registry	sync_wrapper	1.0.2	registry	false	false	false
edge	axum	0.8.9	registry	tokio	1.52.3	registry	false	false	false
edge	axum	0.8.9	registry	tower	0.5.3	registry	false	false	false
edge	axum	0.8.9	registry	tower-layer	0.3.3	registry	false	false	false
edge	axum	0.8.9	registry	tower-service	0.3.3	registry	false	false	false
edge	axum	0.8.9	registry	tracing	0.1.44	registry	false	false	false
edge	axum-core	0.5.6	registry	bytes	1.11.1	registry	false	false	false
edge	axum-core	0.5.6	registry	futures-core	0.3.32	registry	false	false	false
edge	axum-core	0.5.6	registry	http	1.4.0	registry	false	false	false
edge	axum-core	0.5.6	registry	http-body	1.0.1	registry	false	false	false
edge	axum-core	0.5.6	registry	http-body-util	0.1.3	registry	false	false	false
edge	axum-core	0.5.6	registry	mime	0.3.17	registry	false	false	false
edge	axum-core	0.5.6	registry	pin-project-lite	0.2.16	registry	false	false	false
edge	axum-core	0.5.6	registry	sync_wrapper	1.0.2	registry	false	false	false
edge	axum-core	0.5.6	registry	tower-layer	0.3.3	registry	false	false	false
edge	axum-core	0.5.6	registry	tower-service	0.3.3	registry	false	false	false
edge	axum-core	0.5.6	registry	tracing	0.1.44	registry	false	false	false
edge	axum-server	0.7.3	registry	arc-swap	1.8.2	registry	false	false	false
edge	axum-server	0.7.3	registry	bytes	1.11.1	registry	false	false	false
edge	axum-server	0.7.3	registry	fs-err	3.3.0	registry	false	false	false
edge	axum-server	0.7.3	registry	http	1.4.0	registry	false	false	false
edge	axum-server	0.7.3	registry	http-body	1.0.1	registry	false	false	false
edge	axum-server	0.7.3	registry	hyper	1.8.1	registry	false	false	false
edge	axum-server	0.7.3	registry	hyper-util	0.1.20	registry	false	false	false
edge	axum-server	0.7.3	registry	pin-project-lite	0.2.16	registry	false	false	false
edge	axum-server	0.7.3	registry	rustls	0.23.37	registry	false	false	false
edge	axum-server	0.7.3	registry	rustls-pemfile	2.2.0	registry	false	false	false
edge	axum-server	0.7.3	registry	rustls-pki-types	1.14.0	registry	false	false	false
edge	axum-server	0.7.3	registry	tokio	1.52.3	registry	false	false	false
edge	axum-server	0.7.3	registry	tokio-rustls	0.26.4	registry	false	false	false
edge	axum-server	0.7.3	registry	tower-service	0.3.3	registry	false	false	false
edge	bevy_ecs	0.18.1	registry	bevy_ecs_macros	0.18.0	registry	false	false	false
edge	bevy_ecs	0.18.1	registry	bevy_platform	0.18.0	registry	false	false	false
edge	bevy_ecs	0.18.1	registry	bevy_ptr	0.18.0	registry	false	false	false
edge	bevy_ecs	0.18.1	registry	bevy_reflect	0.18.0	registry	false	false	false
edge	bevy_ecs	0.18.1	registry	bevy_tasks	0.18.0	registry	false	false	false
edge	bevy_ecs	0.18.1	registry	bevy_utils	0.18.0	registry	false	false	false
edge	bevy_ecs	0.18.1	registry	bitflags	2.11.0	registry	false	false	false
edge	bevy_ecs	0.18.1	registry	bumpalo	3.20.2	registry	false	false	false
edge	bevy_ecs	0.18.1	registry	concurrent-queue	2.5.0	registry	false	false	false
edge	bevy_ecs	0.18.1	registry	derive_more	2.1.1	registry	false	false	false
edge	bevy_ecs	0.18.1	registry	fixedbitset	0.5.7	registry	false	false	false
edge	bevy_ecs	0.18.1	registry	indexmap	2.14.0	registry	false	false	false
