name	version	source	primary_reachability	reachable_in_roots	root_tiers	also_dev	also_foreign_target
parking_lot	0.12.5	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
parking_lot_core	0.9.12	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
paste	1.0.15	registry	release-build	sentinel-daemon	A	false	false
pem	3.0.6	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend	A	false	false
pem-rfc7468	0.7.0	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	A	false	false
percent-encoding	2.3.2	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	A,B	false	false
pest	2.8.6	registry	release-normal	sentinel-daemon	A	false	false
pest_derive	2.8.6	registry	release-build	sentinel-daemon	A	false	false
pest_generator	2.8.6	registry	release-build	sentinel-daemon	A	false	false
pest_meta	2.8.6	registry	release-build	sentinel-daemon	A	false	false
petgraph	0.6.5	registry	release-normal	sentinel-daemon	A	false	false
petgraph	0.8.3	registry	release-normal	sentinel-daemon	A	false	false
phf	0.13.1	registry	release-normal	sentinel-daemon	A	false	false
phf_generator	0.13.1	registry	release-build	sentinel-daemon	A	false	false
phf_macros	0.13.1	registry	release-build	sentinel-daemon	A	false	false
phf_shared	0.13.1	registry	release-normal	sentinel-daemon	A	false	false
pin-project	1.1.10	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	A	false	true
pin-project-internal	1.1.10	registry	release-build	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	A	false	true
pin-project-lite	0.2.16	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	true
pin-utils	0.1.0	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend	A,B	false	false
pkcs1	0.7.5	registry	release-normal	sentinel-daemon	A	false	false
pkcs8	0.10.2	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	A	false	false
pkg-config	0.3.32	registry	release-build	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,C	true	false
plotters	0.3.7	registry	dev-bench-only			true	false
plotters-backend	0.3.7	registry	dev-bench-only			true	false
plotters-svg	0.3.7	registry	dev-bench-only			true	false
pnet_base	0.35.0	registry	release-normal	sentinel-daemon	A	false	false
pnet_datalink	0.35.0	registry	release-normal	sentinel-daemon	A	false	false
pnet_sys	0.35.0	registry	release-normal	sentinel-daemon	A	false	false
portable-atomic	1.13.1	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	true
portable-atomic-util	0.2.5	registry	target-only			false	true
postcard	1.1.3	registry	release-normal	sentinel-daemon	A	false	false
potential_utf	0.1.4	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	A,B	false	false
powerfmt	0.2.0	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	A	false	false
ppv-lite86	0.2.21	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	A,B	true	true
pretty-hex	0.4.1	registry	dev-bench-only			true	true
prettyplease	0.2.37	registry	target-only			false	true
proc-macro-crate	2.0.2	registry	release-build	sentinel-daemon,sentinel-dashboard-backend	A	true	true
proc-macro2	1.0.106	registry	release-build	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	true
pulley-interpreter	45.0.3	registry	release-normal	sentinel-daemon	A	false	false
pulley-macros	45.0.3	registry	release-build	sentinel-daemon	A	false	false
quinn	0.11.9	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend	A,B	false	false
quinn-proto	0.11.15	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend	A,B	false	false
quinn-udp	0.5.14	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend	A,B	false	false
quote	1.0.44	registry	release-build	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	true
r-efi	5.3.0	registry	target-only			false	true
rand	0.10.1	registry	release-normal	sentinel-daemon	A	false	false
rand	0.8.6	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	A	false	false
rand	0.9.4	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend	A,B	true	true
rand_chacha	0.3.1	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	A	false	false
rand_chacha	0.9.0	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend	A,B	true	true
rand_core	0.10.1	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	true
rand_core	0.6.4	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	A	false	false
rand_core	0.9.5	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend	A,B	true	true
rand_xoshiro	0.7.0	registry	dev-bench-only			true	true
rayon	1.11.0	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend	A	true	false
rayon-core	1.13.0	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend	A	true	false
rcgen	0.13.2	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend	A	false	false
redb	3.1.1	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-nightrun	A,C	false	false
redox_syscall	0.5.18	registry	target-only			false	true
redox_users	0.4.6	registry	target-only			false	true
redox_users	0.5.2	registry	target-only			false	true
ref-cast	1.0.25	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend	A	false	false
ref-cast-impl	1.0.25	registry	release-build	sentinel-daemon,sentinel-dashboard-backend	A	false	false
regalloc2	0.15.1	registry	release-normal	sentinel-daemon	A	false	false
regex	1.12.3	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	A	true	false
regex-automata	0.4.14	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,C	true	false
regex-syntax	0.8.10	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,C	true	false
reqwest	0.12.28	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend	A,B	false	false
ring	0.17.14	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	A,B	false	false
ringbuffer-spsc	0.1.15	registry	release-normal	sentinel-daemon	A	false	false
rmp	0.8.15	registry	release-normal	sentinel-dashboard-backend	A	false	false
rmp-serde	1.3.1	registry	release-normal	sentinel-dashboard-backend	A	false	false
ron	0.12.0	registry	release-normal	sentinel-daemon	A	false	false
rsa	0.9.10	registry	release-normal	sentinel-daemon	A	false	false
rsqlite-vfs	0.1.0	registry	target-only			false	true
rusqlite	0.38.0	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,C	true	false
rustc-demangle	0.1.27	registry	release-normal	sentinel-daemon	A	false	false
rustc-hash	2.1.1	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend	A,B	false	false
rustc_version	0.4.1	registry	release-build	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
rusticata-macros	4.1.0	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend	A	false	false
rustix	1.1.4	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend	A	true	false
rustix-linux-procfs	0.1.1	registry	release-normal	sentinel-daemon	A	false	false
rustls	0.23.37	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	A,B	false	false
rustls-native-certs	0.8.3	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	A,B	false	false
rustls-pemfile	2.2.0	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend	A	false	false
rustls-pki-types	1.14.0	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	A,B	false	true
rustls-platform-verifier	0.6.2	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend	A,B	false	false
rustls-platform-verifier-android	0.1.1	registry	target-only			false	true
rustls-webpki	0.103.13	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	A,B	false	false
rustversion	1.0.22	registry	release-build	sentinel-daemon,sentinel-dashboard-backend	A	false	true
ryu	1.0.23	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend	A,B	false	false
same-file	1.0.6	registry	dev-bench-only			true	true
schannel	0.1.28	registry	target-only			false	true
schemars	0.9.0	registry	release-normal	sentinel-daemon	A	false	false
schemars	1.2.1	registry	release-normal	sentinel-daemon	A	false	false
schemars_derive	1.2.1	registry	release-build	sentinel-daemon	A	false	false
scoped-tls	1.0.1	registry	optional-disabled			false	false
scopeguard	1.2.0	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	true
secrecy	0.8.0	registry	release-normal	sentinel-daemon	A	false	false
security-framework	3.7.0	registry	target-only			false	true
security-framework-sys	2.17.0	registry	target-only			false	true
semver	1.0.27	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	true
sentinel-bio	0.1.0	workspace	release-normal	sentinel-daemon	A	false	false
sentinel-cluster-control	0.1.0	workspace	release-normal	sentinel-daemon	A	false	false
sentinel-common	0.1.0	workspace	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
sentinel-console-plane	0.1.0	workspace	release-normal	sentinel-dashboard-backend	A	false	false
sentinel-ctl	0.1.0	workspace	release-normal	sentinel-ctl	B	false	false
sentinel-daemon	0.1.0	workspace	release-normal	sentinel-daemon	A	false	false
sentinel-dashboard-backend	0.1.0	workspace	release-normal	sentinel-dashboard-backend	A	false	false
sentinel-ebpf	0.1.0	workspace	release-normal	sentinel-daemon	A	false	false
sentinel-ecs	0.1.0	workspace	release-normal	sentinel-daemon	A	false	false
sentinel-fs	0.1.0	workspace	release-normal	sentinel-daemon,sentinel-dashboard-backend	A	false	false
sentinel-gaia	0.1.0	workspace	release-normal	sentinel-dashboard-backend,sentinel-gaia	A,B	false	false
sentinel-gaia-loop	0.1.0	workspace	release-normal	sentinel-dashboard-backend,sentinel-gaia-loop	A	false	false
sentinel-gaia-memory	0.1.0	workspace	non-release-workspace-normal			false	false
sentinel-hippocampus	0.1.0	workspace	release-normal	sentinel-daemon,sentinel-nightrun	A,C	false	false
sentinel-limbo	0.1.0	workspace	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,C	true	false
sentinel-microvm	0.1.0	workspace	non-release-workspace-normal			false	false
sentinel-nightrun	0.1.0	workspace	release-normal	sentinel-nightrun	C	false	false
sentinel-physics	0.1.0	workspace	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-projection-service	A	true	false
sentinel-projection	0.1.0	workspace	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-projection-service	A	true	false
sentinel-projection-service	0.1.0	workspace	release-normal	sentinel-projection-service	A	false	false
sentinel-redb	0.1.0	workspace	release-normal	sentinel-daemon	A	false	false
sentinel-runtime	0.1.0	workspace	release-normal	sentinel-daemon	A	false	false
sentinel-sandbox	0.1.0	workspace	release-normal	sentinel-daemon	A	false	false
sentinel-telemetry	0.1.0	workspace	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,C	true	false
sentinel-wasm	0.1.0	workspace	release-normal	sentinel-daemon	A	false	false
sentinel-zenoh	0.1.0	workspace	release-normal	sentinel-daemon	A	false	false
serde	1.0.228	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	true
