name	version	source	native_normal_build	native_all_edges	all_targets_all_edges	native_dev_context	foreign_target_context
tower-layer	0.3.3	registry	true	true	true	true	false
tower-service	0.3.3	registry	true	true	true	true	false
tracing	0.1.44	registry	true	true	true	true	false
tracing-attributes	0.1.31	registry	true	true	true	true	false
tracing-core	0.1.36	registry	true	true	true	true	false
tracing-log	0.2.0	registry	true	true	true	true	false
tracing-serde	0.2.0	registry	true	true	true	true	false
tracing-subscriber	0.3.22	registry	true	true	true	true	false
try-lock	0.2.5	registry	true	true	true	false	false
tryhard	0.5.2	registry	true	true	true	false	false
tungstenite	0.24.0	registry	true	true	true	false	false
twox-hash	2.1.2	registry	true	true	true	false	false
typeid	1.0.3	registry	true	true	true	false	false
typenum	1.19.0	registry	true	true	true	false	false
ucd-trie	0.1.7	registry	true	true	true	false	false
uhlc	0.8.2	registry	true	true	true	false	false
unicase	2.9.0	registry	true	true	true	false	false
unicode-ident	1.0.24	registry	true	true	true	true	true
unicode-segmentation	1.12.0	registry	true	true	true	false	false
unicode-width	0.2.2	registry	true	true	true	false	false
unicode-xid	0.2.6	registry	true	true	true	false	false
unsafe-libyaml	0.2.11	registry	true	true	true	false	false
untrusted	0.9.0	registry	true	true	true	false	false
unty	0.0.4	registry	true	true	true	false	false
unzip-n	0.1.4	registry	true	true	true	false	false
url	2.5.8	registry	true	true	true	false	false
utf-8	0.7.6	registry	true	true	true	false	false
utf8_iter	1.0.4	registry	true	true	true	false	false
utf8parse	0.2.2	registry	true	true	true	true	false
uuid	1.22.0	registry	true	true	true	true	true
validated_struct	2.2.0	registry	true	true	true	false	false
validated_struct_macros	2.2.0	registry	true	true	true	false	false
valuable	0.1.1	registry	false	false	false	false	false
variadics_please	1.1.0	registry	true	true	true	false	false
vcpkg	0.2.15	registry	true	true	true	true	false
vec_map	0.8.2	registry	true	true	true	false	false
version_check	0.9.5	registry	true	true	true	false	false
virtue	0.0.18	registry	true	true	true	false	false
walkdir	2.5.0	registry	false	true	true	true	true
want	0.3.1	registry	true	true	true	false	false
wasi	0.11.1+wasi-snapshot-preview1	registry	false	false	true	false	true
wasip2	1.0.2+wasi-0.2.9	registry	false	false	true	false	true
wasip3	0.4.0+wasi-0.3.0-rc-2026-01-06	registry	false	false	true	false	true
wasm-bindgen	0.2.113	registry	false	false	true	false	true
wasm-bindgen-futures	0.4.63	registry	false	false	true	false	true
wasm-bindgen-macro	0.2.113	registry	false	false	true	false	true
wasm-bindgen-macro-support	0.2.113	registry	false	false	true	false	true
wasm-bindgen-shared	0.2.113	registry	false	false	true	false	true
wasm-compose	0.248.0	registry	true	true	true	false	false
wasm-encoder	0.244.0	registry	false	false	false	false	false
wasm-encoder	0.248.0	registry	true	true	true	false	false
wasm-encoder	0.250.0	registry	true	true	true	false	false
wasm-metadata	0.244.0	registry	false	false	false	false	false
wasmparser	0.244.0	registry	false	false	false	false	false
wasmparser	0.248.0	registry	true	true	true	false	false
wasmparser	0.250.0	registry	false	false	false	false	false
wasmprinter	0.248.0	registry	true	true	true	false	false
wasmtime	45.0.3	registry	true	true	true	false	false
wasmtime-environ	45.0.3	registry	true	true	true	false	false
wasmtime-internal-cache	45.0.3	registry	true	true	true	false	false
wasmtime-internal-component-macro	45.0.3	registry	true	true	true	false	false
wasmtime-internal-component-util	45.0.3	registry	true	true	true	false	false
wasmtime-internal-core	45.0.3	registry	true	true	true	false	false
wasmtime-internal-cranelift	45.0.3	registry	true	true	true	false	false
wasmtime-internal-fiber	45.0.3	registry	true	true	true	false	false
wasmtime-internal-jit-debug	45.0.3	registry	true	true	true	false	false
wasmtime-internal-jit-icache-coherence	45.0.3	registry	true	true	true	false	false
wasmtime-internal-unwinder	45.0.3	registry	true	true	true	false	false
wasmtime-internal-versioned-export-macros	45.0.3	registry	true	true	true	false	false
wasmtime-internal-winch	45.0.3	registry	false	false	false	false	false
wasmtime-internal-wit-bindgen	45.0.3	registry	true	true	true	false	false
wasmtime-wasi	45.0.3	registry	true	true	true	false	false
wasmtime-wasi-io	45.0.3	registry	true	true	true	false	false
wast	250.0.0	registry	true	true	true	false	false
wast	35.0.2	registry	true	true	true	false	false
wat	1.250.0	registry	true	true	true	false	false
web-sys	0.3.90	registry	false	false	true	false	true
web-time	1.1.0	registry	false	false	true	false	true
webpki-root-certs	1.0.6	registry	false	false	true	false	true
webpki-roots	0.26.11	registry	true	true	true	false	false
webpki-roots	1.0.6	registry	true	true	true	false	false
wgpu-types	27.0.1	registry	false	false	false	false	false
wiggle	45.0.3	registry	true	true	true	false	false
wiggle-generate	45.0.3	registry	true	true	true	false	false
wiggle-macro	45.0.3	registry	true	true	true	false	false
winapi	0.3.9	registry	false	false	true	false	true
winapi-i686-pc-windows-gnu	0.4.0	registry	false	false	true	false	true
winapi-util	0.1.11	registry	false	false	true	false	true
winapi-x86_64-pc-windows-gnu	0.4.0	registry	false	false	true	false	true
winch-codegen	45.0.3	registry	false	false	false	false	false
windows-core	0.62.2	registry	false	false	true	false	true
windows-implement	0.60.2	registry	false	false	true	false	true
windows-interface	0.59.3	registry	false	false	true	false	true
windows-link	0.2.1	registry	false	false	true	false	true
windows-result	0.4.1	registry	false	false	true	false	true
windows-strings	0.5.1	registry	false	false	true	false	true
windows-sys	0.45.0	registry	false	false	true	false	true
windows-sys	0.52.0	registry	false	false	true	false	true
windows-sys	0.59.0	registry	false	false	true	false	true
windows-sys	0.61.2	registry	false	false	true	false	true
windows-targets	0.42.2	registry	false	false	true	false	true
windows-targets	0.52.6	registry	false	false	true	false	true
windows_aarch64_gnullvm	0.42.2	registry	false	false	true	false	true
windows_aarch64_gnullvm	0.52.6	registry	false	false	true	false	true
windows_aarch64_msvc	0.42.2	registry	false	false	true	false	true
windows_aarch64_msvc	0.52.6	registry	false	false	true	false	true
windows_i686_gnu	0.42.2	registry	false	false	true	false	true
windows_i686_gnu	0.52.6	registry	false	false	true	false	true
windows_i686_gnullvm	0.52.6	registry	false	false	true	false	true
windows_i686_msvc	0.42.2	registry	false	false	true	false	true
windows_i686_msvc	0.52.6	registry	false	false	true	false	true
windows_x86_64_gnu	0.42.2	registry	false	false	true	false	true
windows_x86_64_gnu	0.52.6	registry	false	false	true	false	true
windows_x86_64_gnullvm	0.42.2	registry	false	false	true	false	true
windows_x86_64_gnullvm	0.52.6	registry	false	false	true	false	true
windows_x86_64_msvc	0.42.2	registry	false	false	true	false	true
windows_x86_64_msvc	0.52.6	registry	false	false	true	false	true
winnow	0.5.40	registry	true	true	true	true	true
winnow	0.7.14	registry	true	true	true	true	false
winx	0.36.4	registry	false	false	true	false	true
wit-bindgen	0.51.0	registry	false	false	true	false	true
wit-bindgen-core	0.51.0	registry	false	false	false	false	false
wit-bindgen-rust	0.51.0	registry	false	false	false	false	false
wit-bindgen-rust-macro	0.51.0	registry	false	false	false	false	false
wit-component	0.244.0	registry	false	false	false	false	false
wit-parser	0.244.0	registry	false	false	false	false	false
wit-parser	0.248.0	registry	true	true	true	false	false
witx	0.9.1	registry	true	true	true	false	false
writeable	0.6.2	registry	true	true	true	false	false
wtransport	0.6.1	registry	true	true	true	false	false
wtransport-proto	0.6.1	registry	true	true	true	false	false
x509-parser	0.17.0	registry	true	true	true	false	false
x509-parser	0.18.1	registry	true	true	true	false	false
yasna	0.5.2	registry	true	true	true	false	false
yoke	0.8.1	registry	true	true	true	false	false
yoke-derive	0.8.1	registry	true	true	true	false	false
zenoh	1.7.2	registry	true	true	true	false	false
zenoh-buffers	1.7.2	registry	true	true	true	false	false
zenoh-codec	1.7.2	registry	true	true	true	false	false
zenoh-collections	1.7.2	registry	true	true	true	false	false
zenoh-config	1.7.2	registry	true	true	true	false	false
zenoh-core	1.7.2	registry	true	true	true	false	false
zenoh-crypto	1.7.2	registry	true	true	true	false	false
zenoh-keyexpr	1.7.2	registry	true	true	true	false	false
zenoh-link	1.7.2	registry	true	true	true	false	false
zenoh-link-commons	1.7.2	registry	true	true	true	false	false
zenoh-link-quic	1.7.2	registry	true	true	true	false	false
zenoh-link-quic_datagram	1.7.2	registry	true	true	true	false	false
zenoh-link-tcp	1.7.2	registry	true	true	true	false	false
zenoh-link-tls	1.7.2	registry	true	true	true	false	false
zenoh-link-udp	1.7.2	registry	true	true	true	false	false
zenoh-link-unixsock_stream	1.7.2	registry	true	true	true	false	false
zenoh-link-ws	1.7.2	registry	true	true	true	false	false
zenoh-macros	1.7.2	registry	true	true	true	false	false
zenoh-plugin-trait	1.7.2	registry	true	true	true	false	false
zenoh-protocol	1.7.2	registry	true	true	true	false	false
zenoh-result	1.7.2	registry	true	true	true	false	false
zenoh-runtime	1.7.2	registry	true	true	true	false	false
zenoh-sync	1.7.2	registry	true	true	true	false	false
zenoh-task	1.7.2	registry	true	true	true	false	false
zenoh-transport	1.7.2	registry	true	true	true	false	false
zenoh-util	1.7.2	registry	true	true	true	false	false
zerocopy	0.8.40	registry	true	true	true	true	true
zerocopy-derive	0.8.40	registry	true	true	true	true	true
zerofrom	0.1.6	registry	true	true	true	false	false
zerofrom-derive	0.1.6	registry	true	true	true	false	false
zeroize	1.8.2	registry	true	true	true	false	true
zerotrie	0.2.3	registry	true	true	true	false	false
zerovec	0.11.5	registry	true	true	true	false	false
zerovec-derive	0.11.2	registry	true	true	true	false	false
zmij	1.0.21	registry	true	true	true	true	false
zstd	0.13.3	registry	true	true	true	false	false
zstd-safe	7.2.4	registry	true	true	true	false	false
zstd-sys	2.0.16+zstd.1.5.7	registry	true	true	true	false	false
