name	version	source	native_normal_build	native_all_edges	all_targets_all_edges	native_dev_context	foreign_target_context
cc	1.2.56	registry	true	true	true	true	true
cesu8	1.1.0	registry	false	false	true	false	true
cfg-if	1.0.4	registry	true	true	true	true	true
cfg_aliases	0.2.1	registry	true	true	true	false	false
chacha20	0.10.0	registry	true	true	true	false	false
chrono	0.4.44	registry	true	true	true	false	false
ciborium	0.2.2	registry	false	true	true	true	false
ciborium-io	0.2.2	registry	false	true	true	true	false
ciborium-ll	0.2.2	registry	false	true	true	true	false
cipher	0.4.4	registry	true	true	true	false	false
clap	4.5.60	registry	true	true	true	true	false
clap_builder	4.5.60	registry	true	true	true	true	false
clap_derive	4.5.55	registry	true	true	true	true	false
clap_lex	1.0.0	registry	true	true	true	true	false
cmake	0.1.58	registry	true	true	true	false	false
cobs	0.3.0	registry	true	true	true	false	false
colorchoice	1.0.4	registry	true	true	true	true	false
combine	4.6.7	registry	false	false	true	false	true
concurrent-queue	2.5.0	registry	true	true	true	false	true
console	0.15.11	registry	false	true	true	true	false
const-oid	0.9.6	registry	true	true	true	false	false
const_format	0.2.35	registry	true	true	true	false	false
const_format_proc_macros	0.2.34	registry	true	true	true	false	false
constant_time_eq	0.4.2	registry	true	true	true	false	false
convert_case	0.10.0	registry	true	true	true	false	false
core-foundation	0.10.1	registry	false	false	true	false	true
core-foundation-sys	0.8.7	registry	false	false	true	false	true
cpp_demangle	0.4.5	registry	true	true	true	false	false
cpufeatures	0.2.17	registry	true	true	true	false	true
cpufeatures	0.3.0	registry	true	true	true	false	false
cranelift-assembler-x64	0.132.3	registry	true	true	true	false	false
cranelift-assembler-x64-meta	0.132.3	registry	true	true	true	false	false
cranelift-bforest	0.132.3	registry	true	true	true	false	false
cranelift-bitset	0.132.3	registry	true	true	true	false	false
cranelift-codegen	0.132.3	registry	true	true	true	false	false
cranelift-codegen-meta	0.132.3	registry	true	true	true	false	false
cranelift-codegen-shared	0.132.3	registry	true	true	true	false	false
cranelift-control	0.132.3	registry	true	true	true	false	false
cranelift-entity	0.132.3	registry	true	true	true	false	false
cranelift-frontend	0.132.3	registry	true	true	true	false	false
cranelift-isle	0.132.3	registry	true	true	true	false	false
cranelift-native	0.132.3	registry	true	true	true	false	false
cranelift-srcgen	0.132.3	registry	true	true	true	false	false
crc32fast	1.5.0	registry	true	true	true	false	false
criterion	0.5.1	registry	false	true	true	true	false
criterion	0.8.2	registry	false	true	true	true	false
criterion-plot	0.5.0	registry	false	true	true	true	false
criterion-plot	0.8.2	registry	false	true	true	true	false
critical-section	1.2.0	registry	false	false	false	false	false
crossbeam	0.8.4	registry	true	true	true	false	false
crossbeam-channel	0.5.15	registry	true	true	true	false	false
crossbeam-deque	0.8.6	registry	true	true	true	true	false
crossbeam-epoch	0.9.20	registry	true	true	true	true	false
crossbeam-queue	0.3.12	registry	true	true	true	false	false
crossbeam-utils	0.8.21	registry	true	true	true	true	true
crunchy	0.2.4	registry	false	false	true	false	true
crypto-common	0.1.7	registry	true	true	true	false	false
curve25519-dalek	4.1.3	registry	true	true	true	false	false
curve25519-dalek-derive	0.1.1	registry	true	true	true	false	false
darling	0.21.3	registry	true	true	true	false	false
darling_core	0.21.3	registry	true	true	true	false	false
darling_macro	0.21.3	registry	true	true	true	false	false
data-encoding	2.10.0	registry	true	true	true	false	false
debugid	0.8.0	registry	true	true	true	false	false
der	0.7.10	registry	true	true	true	false	false
der-parser	10.0.0	registry	true	true	true	false	false
deranged	0.5.8	registry	true	true	true	false	false
derive_more	2.1.1	registry	true	true	true	false	false
derive_more-impl	2.1.1	registry	true	true	true	false	false
digest	0.10.7	registry	true	true	true	false	false
directories-next	2.0.0	registry	true	true	true	false	false
dirs	6.0.0	registry	true	true	true	false	false
dirs-sys	0.5.0	registry	true	true	true	false	false
dirs-sys-next	0.1.2	registry	true	true	true	false	false
displaydoc	0.2.5	registry	true	true	true	false	false
disqualified	1.0.0	registry	true	true	true	false	false
downcast-rs	2.0.2	registry	true	true	true	false	false
dunce	1.0.5	registry	true	true	true	false	false
dyn-clone	1.0.20	registry	true	true	true	false	false
ed25519	2.2.3	registry	true	true	true	false	false
ed25519-dalek	2.2.0	registry	true	true	true	false	false
either	1.15.0	registry	true	true	true	true	true
embedded-io	0.4.0	registry	false	false	false	false	false
embedded-io	0.6.1	registry	false	false	false	false	false
encode_unicode	1.0.0	registry	false	false	true	false	true
encoding_rs	0.8.35	registry	true	true	true	false	false
enumflags2	0.7.12	registry	true	true	true	false	false
enumflags2_derive	0.7.12	registry	true	true	true	false	false
equivalent	1.0.2	registry	true	true	true	true	true
erased-serde	0.4.9	registry	true	true	true	false	false
errno	0.3.14	registry	true	true	true	true	false
event-listener	5.4.1	registry	true	true	true	false	true
event-listener-strategy	0.5.4	registry	false	false	true	false	true
fallible-iterator	0.3.0	registry	true	true	true	true	false
fallible-streaming-iterator	0.1.9	registry	true	true	true	true	false
fastbloom	0.14.1	registry	true	true	true	false	false
fastrand	2.3.0	registry	true	true	true	true	false
fiat-crypto	0.2.9	registry	false	false	true	false	true
find-msvc-tools	0.1.9	registry	true	true	true	true	true
